# source, executable, build_date-time, wall-clock, function, gnuc, elapsed, cores, itens
minas-funcs.c,target/minas,Jun 25 2020 09:58:03,1593089884,readModel,8.3.0,3.962000e-03,1,100
minas-funcs.c,target/minas,Jun 25 2020 09:58:03,1593089898,readExamples,8.3.0,1.363125e+01,1,653457
minas.c,target/minas,Jun 25 2020 09:58:03,1593089962,main,8.3.0,6.306085e+01,1,653457
evaluate.c,target/eval,Jun 25 2020 09:57:09,1593089983,main,8.3.0,2.137675e+01,1,653457
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593090156,readModel,8.3.0,4.059000e-03,1,100
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593090170,readExamples,8.3.0,1.394538e+01,1,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090170,sendModel,8.3.0,5.780000e-04,2,100
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090233,sendExamples,8.3.0,6.371016e+01,2,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090233,main,8.3.0,6.371022e+01,2,653457
evaluate.c,target/eval,Jun 25 2020 09:57:09,1593090297,main,8.3.0,2.138948e+01,1,653457
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593090335,readModel,8.3.0,3.953000e-03,1,100
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593090348,readExamples,8.3.0,1.382316e+01,1,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090348,sendModel,8.3.0,6.870000e-04,3,100
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090385,sendExamples,8.3.0,3.444380e+01,3,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090385,main,8.3.0,3.444396e+01,3,653457
evaluate.c,target/eval,Jun 25 2020 09:57:09,1593090431,main,8.3.0,2.121225e+01,1,653457
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593090455,readModel,8.3.0,3.989000e-03,1,100
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593090469,readExamples,8.3.0,1.388380e+01,1,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090469,sendModel,8.3.0,8.410000e-04,4,100
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090494,sendExamples,8.3.0,2.418298e+01,4,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090494,main,8.3.0,2.418306e+01,4,653457
evaluate.c,target/eval,Jun 25 2020 09:57:09,1593090535,main,8.3.0,2.149082e+01,1,653457
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593090684,readModel,8.3.0,3.978000e-03,1,100
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593090698,readExamples,8.3.0,1.402844e+01,1,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090698,sendModel,8.3.0,1.484800e-02,5,100
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090723,sendExamples,8.3.0,2.407039e+01,5,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090723,main,8.3.0,2.407068e+01,5,653457
evaluate.c,target/eval,Jun 25 2020 09:57:09,1593090756,main,8.3.0,2.115889e+01,1,653457
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593090799,readModel,8.3.0,4.010000e-03,1,100
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593090813,readExamples,8.3.0,1.391205e+01,1,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090813,sendModel,8.3.0,1.781300e-02,6,100
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090844,sendExamples,8.3.0,3.019669e+01,6,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090844,main,8.3.0,3.019844e+01,6,653457
evaluate.c,target/eval,Jun 25 2020 09:57:09,1593090899,main,8.3.0,2.119213e+01,1,653457
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593090924,readModel,8.3.0,3.945000e-03,1,100
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593090938,readExamples,8.3.0,1.379498e+01,1,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090938,sendModel,8.3.0,2.110100e-02,7,100
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090961,sendExamples,8.3.0,2.336208e+01,7,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593090961,main,8.3.0,2.336400e+01,7,653457
evaluate.c,target/eval,Jun 25 2020 09:57:09,1593091000,main,8.3.0,2.122135e+01,1,653457
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593091032,readModel,8.3.0,7.470000e-03,1,100
minas-funcs.c,./target/mfog,Jun 25 2020 10:02:26,1593091046,readExamples,8.3.0,1.372101e+01,1,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593091046,sendModel,8.3.0,2.092900e-02,8,100
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593091074,sendExamples,8.3.0,2.834445e+01,8,653457
minas-mpi.c,./target/mfog,Jun 25 2020 10:02:26,1593091074,main,8.3.0,2.834457e+01,8,653457
evaluate.c,target/eval,Jun 25 2020 09:57:09,1593091101,main,8.3.0,2.133758e+01,1,653457
